action,all_action_probabilities,episode_id,episode_name,reward,transition_number,state_feature_0,state_feature_1,state_feature_2,state_feature_3,state_feature_4
1,"[0.31590474, 0.68385124, 5.5676424e-05, 9.863071e-05, 5.375137e-05, 3.5873978e-05]",0,cancer,-1,0,1,3,1,1,0
5,"[1.57843e-05, 9.221638e-06, 9.382127e-06, 1.4159701e-05, 4.746376e-06, 0.9999466]",0,cancer,-1,1,0,3,1,1,1
4,"[0.00013399663, 9.151746e-05, 0.00010463371, 6.895312e-05, 0.99951464, 8.646572e-05]",0,cancer,10,2,0,0,1,1,0
,,0,cancer,,,0,0,0,1,0
0,"[0.9999327, 1.3658976e-05, 1.0261612e-05, 1.3790807e-05, 1.2839132e-05, 1.6757893e-05]",1,cancer,-1,0,0,3,0,1,0
2,"[0.00021789638, 3.0248413e-05, 0.9956911, 0.0039875563, 2.4115421e-05, 4.8986985e-05]",1,cancer,-1,1,0,2,0,1,0
2,"[1.9715706e-05, 1.4585944e-05, 0.74627167, 2.5737581e-05, 0.25364625, 2.1526139e-05]",1,cancer,-1,2,0,1,1,1,0
4,"[0.00013399663, 9.151746e-05, 0.00010463371, 6.895312e-05, 0.99951464, 8.646572e-05]",1,cancer,10,3,0,0,1,1,0
,,1,cancer,,,0,0,0,1,0
0,"[0.55132556, 0.4483014, 8.816051e-05, 0.000118695745, 0.00010192545, 6.4140586e-05]",2,cancer,-1,0,0,3,1,0,0
2,"[2.302888e-05, 2.4461522e-05, 0.99958426, 0.00025690315, 8.4374515e-05, 2.6821823e-05]",2,cancer,-1,1,0,1,0,0,0
4,"[0.000105191495, 7.985797e-05, 9.8298675e-05, 6.821124e-05, 0.99956423, 8.422313e-05]",2,cancer,10,2,0,0,1,0,0
,,2,cancer,,,0,0,0,0,0
0,"[0.99991363, 2.20523e-05, 1.586843e-05, 1.6649967e-05, 1.6034395e-05, 1.5804697e-05]",3,cancer,-1,0,0,3,0,0,0
2,"[2.302888e-05, 2.4461522e-05, 0.99958426, 0.00025690315, 8.4374515e-05, 2.6821823e-05]",3,cancer,-1,1,0,1,0,0,0
4,"[0.000105191495, 7.985797e-05, 9.8298675e-05, 6.821124e-05, 0.99956423, 8.422313e-05]",3,cancer,10,2,0,0,1,0,0
,,3,cancer,,,0,0,0,0,0
0,"[0.99991363, 2.20523e-05, 1.586843e-05, 1.6649967e-05, 1.6034395e-05, 1.5804697e-05]",4,cancer,-1,0,0,3,0,0,0
2,"[8.181751e-05, 0.00016003729, 0.8780216, 0.002357622, 0.11934086, 3.8077786e-05]",4,cancer,-1,1,0,2,1,0,0
2,"[1.6833608e-05, 9.724101e-06, 0.7329816, 3.239844e-05, 0.26694208, 1.700096e-05]",4,cancer,-1,2,0,1,1,0,0
4,"[0.000105191495, 7.985797e-05, 9.8298675e-05, 6.821124e-05, 0.99956423, 8.422313e-05]",4,cancer,10,3,0,0,1,0,0
,,4,cancer,,,0,0,0,0,0
0,"[0.5409897, 0.4586915, 6.111542e-05, 0.00010509884, 7.946399e-05, 7.328858e-05]",5,cancer,-1,0,0,3,1,1,0
2,"[2.5449133e-05, 3.821257e-05, 0.99971104, 0.00012545894, 6.4929525e-05, 3.5073146e-05]",5,cancer,-1,1,0,1,0,1,0
4,"[0.00013399663, 9.151746e-05, 0.00010463371, 6.895312e-05, 0.99951464, 8.646572e-05]",5,cancer,10,2,0,0,1,1,0
,,5,cancer,,,0,0,0,1,0
0,"[0.5409897, 0.4586915, 6.111542e-05, 0.00010509884, 7.946399e-05, 7.328858e-05]",6,cancer,-1,0,0,3,1,1,0
